yaw,pitch,roll,voltage,temperature,time
-5.49,40.04,17.61,2.37,72.38,17392
-7.12,39.95,18.69,2.38,72.38,17429
-9.14,39.98,20.05,2.37,72.38,17467
-10.83,40.10,21.36,2.39,72.38,17503
-12.71,40.44,22.49,2.37,72.38,17543
-14.12,40.77,22.95,2.39,72.38,17585
-15.39,41.02,23.24,2.39,72.38,17619
-15.80,40.92,22.72,2.37,72.38,17658
-15.66,40.85,21.83,2.37,72.38,17695
-14.16,41.04,19.06,2.38,72.38,17735
-11.59,41.90,15.57,2.39,72.38,17774
-8.49,42.72,12.16,2.39,72.38,17812
-5.12,43.20,8.59,2.39,72.38,17850
-2.59,43.23,6.01,2.37,72.38,17885
0.76,43.15,2.44,2.38,72.38,17922
3.32,43.16,-0.68,2.38,72.38,17956
6.46,43.06,-4.75,2.38,72.38,17994
9.01,42.88,-8.51,2.38,72.38,18030
10.36,42.58,-11.07,2.37,72.56,18066
10.99,41.91,-13.92,2.39,72.38,18110
10.69,41.38,-15.03,2.39,72.21,18143
9.72,40.70,-15.82,2.39,72.38,18183
8.11,40.18,-15.65,2.38,72.38,18219
6.83,39.91,-15.19,2.37,72.38,18256
5.37,39.58,-14.62,2.37,72.38,18294
4.21,39.18,-14.11,2.38,72.38,18332
3.40,38.84,-13.78,2.36,72.38,18370
2.99,38.60,-13.43,2.37,72.38,18406
2.68,38.47,-12.94,2.39,72.38,18445
2.52,38.38,-12.23,2.39,72.38,18482
2.19,38.30,-11.19,2.37,72.21,18519
1.91,38.26,-10.37,2.38,72.38,18555
1.54,38.16,-9.44,2.38,72.38,18594
0.94,38.06,-8.57,2.36,72.38,18634
0.32,37.98,-7.98,2.38,72.21,18666
-0.69,37.89,-7.30,2.38,72.21,18703
-1.85,37.85,-6.90,2.37,72.21,18741
-2.75,37.95,-6.69,2.38,72.38,18776
-3.97,38.14,-6.41,2.38,72.21,18815
-5.46,38.28,-5.78,2.39,72.21,18853
-6.91,38.22,-5.08,2.37,72.38,18890
-7.85,38.17,-4.66,2.37,72.38,18927
-9.10,38.16,-3.87,2.39,72.21,18965
-10.10,38.39,-2.85,2.40,72.21,19003
-10.90,38.76,-1.78,2.39,72.21,19042
-11.33,39.06,-1.14,2.38,72.21,19079
-11.78,39.50,-0.42,2.38,72.38,19118
-12.25,39.83,0.26,2.40,72.21,19156
-12.55,40.16,0.57,2.39,72.21,19198
-12.99,39.93,1.17,2.37,72.21,19232
-13.40,39.24,1.87,2.39,72.21,19268
-14.18,38.15,2.90,2.38,72.38,19307
-14.75,37.22,3.73,2.37,72.21,19344
-15.22,36.62,4.23,2.37,72.38,19382
-15.49,36.15,4.49,2.36,72.21,19417
-16.01,35.64,4.97,2.35,72.21,19456
-16.41,35.18,5.38,2.37,72.21,19493
-16.73,34.83,5.59,2.39,72.38,19531
-16.87,34.51,5.73,2.39,72.21,19567
-17.05,34.14,6.22,2.41,72.21,19606
-17.27,33.73,7.05,2.39,72.21,19664
-17.54,33.52,7.55,2.39,72.21,19702
-17.76,33.27,7.86,2.37,72.21,19738
-18.04,33.12,8.13,2.39,72.21,19770
-18.45,32.92,8.28,2.35,72.21,19804
-18.78,32.73,8.30,2.37,72.21,19835
-19.08,32.42,8.21,2.34,72.21,19867
-19.25,32.11,7.77,2.38,72.21,19905
-19.48,31.86,7.80,2.39,72.21,19943
-19.73,31.80,8.21,2.36,72.03,19980
-20.11,31.85,8.65,2.38,72.21,20018
-20.46,31.74,8.85,2.37,72.21,20055
-20.81,31.57,8.75,2.37,72.21,20093
-21.03,31.46,8.41,2.37,72.21,20129
-21.14,31.41,7.50,2.38,72.21,20167
-21.09,31.30,6.33,2.38,72.21,20205
-20.98,31.05,5.57,2.37,72.21,20246
-20.87,30.82,5.31,2.37,72.21,20279
-20.81,30.40,5.05,2.37,72.21,20318
-20.80,30.10,4.74,2.38,72.21,20354
-20.88,30.08,4.45,2.37,72.03,20391
