yaw,pitch,roll,voltage,temperature,time
-0.75,0.56,-0.65,2.45,74.18,11830
-0.40,0.47,-0.51,2.37,74.18,11867
-0.15,0.43,-0.50,2.41,74.18,11903
0.11,0.43,-0.57,2.35,74.18,11940
0.31,0.39,-0.57,2.43,74.18,11976
0.44,0.43,-0.54,2.38,74.18,12012
0.58,0.72,-0.51,2.82,73.82,12049
0.65,1.16,-0.57,2.28,74.18,12089
0.60,1.54,-0.66,2.44,74.18,12127
0.52,1.87,-0.75,2.38,73.82,12163
0.37,2.36,-0.83,2.46,74.18,12200
0.15,2.64,-0.70,2.39,74.18,12237
-0.03,2.73,-0.54,2.46,74.18,12272
-0.23,2.64,-0.49,2.39,74.18,12309
-0.46,2.33,-0.56,2.46,74.18,12346
-0.60,2.13,-0.63,2.37,74.18,12382
-0.70,1.95,-0.75,2.40,74.18,12419
-0.69,1.72,-0.73,2.33,74.18,12455
-0.49,1.38,-0.65,2.43,74.18,12492
-0.09,1.24,-0.62,2.36,74.18,12528
0.25,1.27,-0.51,2.45,74.18,12564
0.61,1.30,-0.47,2.38,74.18,12601
0.85,1.24,-0.56,2.49,74.18,12642
1.08,1.10,-0.70,2.44,74.18,12679
1.44,1.13,-0.50,2.53,74.18,12736
1.70,1.32,-0.44,2.44,74.18,12777
1.80,1.46,-0.47,2.49,74.18,12813
1.77,1.46,-0.65,2.42,74.18,12850
1.70,1.42,-0.78,2.48,74.18,12886
1.72,1.46,-0.87,2.39,74.18,12922
1.86,1.33,-0.68,2.45,74.18,12959
1.99,1.32,-0.50,2.35,74.18,12995
2.20,1.38,-0.51,2.42,74.18,13031
2.45,1.41,-0.55,2.39,74.18,13069
2.58,1.78,-0.58,2.48,74.18,13105
2.55,2.19,-0.54,2.40,74.18,13141
2.26,2.13,-0.69,2.48,74.18,13179
1.81,1.73,-1.02,2.41,74.18,13219
1.47,1.44,-1.23,2.46,74.18,13254
1.26,1.37,-1.41,2.38,74.18,13291
1.26,1.24,-1.23,2.45,74.18,13328
1.38,1.26,-1.01,2.35,74.18,13364
1.64,1.31,-0.76,2.39,74.18,13401
1.85,1.19,-0.65,2.34,74.18,13438
1.88,1.24,-0.64,2.44,74.18,13474
1.69,1.08,-0.75,2.39,74.18,13510
1.40,0.65,-0.87,2.49,74.18,13546
0.88,0.18,-1.13,2.42,74.18,13583
0.39,0.17,-1.22,2.49,74.18,13620
0.15,-0.04,-1.20,2.40,74.18,13656
-0.01,-0.27,-1.01,2.47,74.18,13693
-0.05,-0.22,-0.71,2.38,74.18,13730
-0.05,-0.32,-0.62,2.46,74.18,13770
0.05,-0.35,-0.80,2.39,74.18,13806
0.36,-0.14,-0.86,2.47,74.18,13843
0.76,-0.17,-0.47,2.38,74.18,13881
1.11,-0.17,-0.22,2.46,74.18,13916
1.57,0.02,-0.16,2.38,74.18,13953
1.92,0.24,-0.27,2.46,74.18,13991
2.09,0.50,-0.35,2.38,74.18,14026
2.30,1.05,-0.41,2.45,74.18,14062
2.47,1.58,-0.22,2.37,74.18,14100
2.55,1.77,-0.11,2.46,74.18,14136
2.59,1.84,-0.28,2.41,74.18,14172
2.61,1.89,-0.50,2.47,74.18,14208
2.61,1.97,-0.67,2.41,74.36,14245
2.63,2.21,-0.69,2.47,74.18,14282
2.70,2.42,-0.71,2.40,74.18,14322
2.77,2.52,-0.79,2.48,74.18,14358
2.72,2.56,-1.00,2.41,74.18,14395
2.45,2.55,-1.04,2.45,74.18,14432
2.13,2.59,-1.08,2.36,74.18,14468
1.61,2.78,-1.29,2.44,74.18,14505
0.99,2.94,-1.49,2.35,74.18,14542
0.49,2.91,-1.56,2.42,74.18,14577
-0.08,2.84,-1.68,2.36,74.18,14614
-0.46,2.77,-1.70,2.44,74.18,14651
-0.61,2.70,-1.59,2.37,74.18,14687
-0.66,2.64,-1.39,2.45,74.18,14724
-0.64,2.71,-1.25,2.38,74.18,14761
-0.62,2.76,-1.18,2.45,74.18,14797
-0.68,2.75,-1.09,2.37,74.18,14838
-0.81,2.80,-1.10,2.45,74.18,14874
-1.02,2.87,-1.13,2.38,74.18,14911
-1.22,2.93,-1.19,2.45,74.36,14947
-1.54,2.97,-1.24,2.39,74.18,14984
-1.82,2.91,-1.33,2.46,74.36,15020
-2.19,2.64,-1.44,2.38,74.36,15057
-2.51,2.19,-1.40,2.46,74.18,15094
-2.70,2.02,-1.38,2.38,74.18,15129
-2.87,1.98,-1.46,2.46,74.36,15166
-2.97,2.08,-1.45,2.40,74.18,15204
-3.02,2.33,-1.51,2.47,74.18,15240
-3.13,2.42,-1.50,2.40,74.18,15277
-3.31,2.15,-1.43,2.47,74.18,15314
-3.49,1.84,-1.46,2.39,74.18,15350
-3.72,1.55,-1.51,2.47,74.18,15389
-3.91,1.45,-1.55,2.40,74.36,15426
-4.04,1.75,-1.63,2.46,74.36,15464
-4.15,1.84,-1.64,2.39,74.18,15500
-4.38,1.62,-1.60,2.47,74.18,15537
-4.77,0.82,-1.54,2.40,74.18,15594
-4.94,0.76,-1.57,2.47,74.36,15635
-5.00,0.99,-1.62,2.38,74.18,15671
-5.07,1.36,-1.69,2.46,74.18,15708
-5.13,1.64,-1.77,2.38,74.18,15745
-5.20,1.66,-1.74,2.45,74.18,15781
-5.29,1.42,-1.59,2.39,74.18,15817
-5.20,1.25,-1.56,2.46,74.18,15854
-4.97,1.26,-1.53,2.38,74.36,15890
-4.56,1.39,-1.32,2.47,74.36,15927
-4.10,1.58,-1.13,2.40,74.18,15968
-3.71,1.70,-1.06,2.47,74.18,16005
-3.50,1.64,-1.09,2.39,74.18,16041
-3.29,1.58,-1.17,2.46,74.18,16078
-3.19,1.59,-1.16,2.38,74.36,16114
-3.18,1.61,-1.11,2.46,74.36,16150
-3.23,1.71,-1.17,2.39,74.18,16187
-3.34,1.79,-1.38,2.47,74.36,16225
-3.45,1.77,-1.51,2.38,74.18,16260
-3.59,1.72,-1.50,2.46,74.36,16297
-3.63,1.82,-1.42,2.38,74.18,16335
-3.60,1.96,-1.43,2.47,74.18,16370
-3.51,2.03,-1.49,2.39,74.36,16407
-3.40,2.01,-1.48,2.45,74.54,16443
-3.15,1.90,-1.31,2.39,74.18,16485
-2.95,1.91,-1.19,2.46,74.36,16521
-2.70,2.07,-1.11,2.39,74.36,16558
-2.55,2.26,-1.12,2.47,74.36,16595
-2.56,2.33,-1.15,2.38,74.36,16631
-2.67,2.32,-1.18,2.46,74.36,16667
-2.80,2.29,-1.23,2.38,74.18,16703
-2.98,2.30,-1.31,2.47,74.36,16740
-3.11,2.39,-1.38,2.40,74.18,16777
-3.17,2.44,-1.40,2.46,74.18,16813
-3.16,2.42,-1.37,2.39,74.36,16850
-3.09,2.32,-1.31,2.47,74.36,16887
-3.01,2.23,-1.28,2.39,74.36,16922
-2.92,2.14,-1.29,2.46,74.36,16959
-2.85,2.09,-1.26,2.39,74.18,16997
-2.82,2.03,-1.21,2.47,74.36,17037
-2.82,1.98,-1.23,2.38,74.18,17073
-2.84,1.92,-1.27,2.47,74.36,17111
-2.88,1.88,-1.27,2.38,74.36,17148
-2.91,1.88,-1.26,2.45,74.18,17183
-2.92,1.85,-1.28,2.38,74.36,17220
-2.92,1.81,-1.29,2.47,74.36,17257
-2.91,1.79,-1.28,2.40,74.18,17293
-2.91,1.77,-1.28,2.47,74.36,17330
-2.91,1.75,-1.28,2.40,74.18,17367
-2.91,1.72,-1.29,2.47,74.18,17403
-2.91,1.69,-1.29,2.39,74.36,17439
-2.91,1.65,-1.29,2.47,74.18,17477
-2.90,1.62,-1.29,2.38,74.36,17513
-2.89,1.58,-1.29,2.45,74.18,17550
-2.89,1.56,-1.29,2.38,74.36,17590
-2.89,1.54,-1.29,2.46,74.36,17628
