voltage,current,airspeed,throttle, ms
316,169,609,1669,43601
315,168,610,1663,43637
313,182,605,1672,43673
313,182,603,1672,43709
315,179,611,1672,43745
315,180,605,1679,43782
316,181,604,1679,43817
315,179,608,1673,43853
314,179,607,1675,43889
315,179,606,1674,43925
316,179,609,1675,43961
315,180,604,1680,43998
315,179,601,1680,44034
316,180,609,1674,44069
315,177,600,1674,44105
315,178,608,1675,44141
316,182,608,1674,44177
315,179,603,1681,44214
315,178,609,1680,44250
316,180,608,1674,44285
315,178,607,1675,44321
315,173,610,1674,44357
317,175,608,1674,44393
315,173,608,1680,44430
316,175,615,1680,44466
316,170,607,1674,44502
316,171,618,1674,44537
315,168,608,1674,44573
315,171,613,1674,44609
316,171,613,1680,44646
314,168,609,1680,44682
315,174,614,1674,44718
316,171,604,1674,44753
316,175,609,1674,44789
316,175,607,1675,44825
313,204,603,1706,44862
314,212,608,1706,44898
315,212,605,1701,44934
315,204,608,1703,44969
315,216,607,1709,45005
312,226,607,1728,45041
312,274,609,1762,45078
310,291,607,1769,45114
312,280,607,1763,45150
311,274,609,1763,45186
312,272,610,1763,45221
309,267,609,1765,45257
311,269,612,1770,45294
312,268,613,1769,45330
310,265,609,1764,45366
312,263,611,1763,45402
310,262,614,1763,45437
312,263,610,1763,45473
310,262,610,1762,45510
311,260,611,1768,45546
311,258,609,1761,45582
311,256,610,1760,45618
312,258,613,1760,45654
309,255,615,1760,45689
313,255,613,1760,45726
311,252,613,1765,45762
312,254,617,1759,45798
312,253,610,1759,45834
311,256,609,1759,45870
312,256,614,1758,45905
311,254,612,1759,45942
310,249,613,1764,45978
313,252,614,1757,46014
311,252,615,1758,46050
312,250,610,1758,46086
311,249,616,1758,46121
310,250,619,1756,46158
313,248,612,1763,46194
312,248,614,1756,46230
311,248,619,1757,46266
312,247,614,1756,46302
312,243,613,1755,46338
311,241,617,1755,46374
313,243,615,1761,46410
312,241,617,1755,46446
311,243,619,1755,46482
312,239,620,1754,46518
311,239,616,1755,46554
312,241,619,1754,46589
310,242,620,1761,46626
311,244,614,1761,46662
312,244,614,1755,46698
310,243,616,1755,46734
312,246,612,1755,46770
312,248,612,1755,46806
311,245,614,1761,46842
312,247,612,1761,46878
311,244,612,1755,46914
312,245,613,1755,46950
311,248,614,1755,46986
310,247,611,1755,47022
313,246,612,1761,47058
310,245,617,1761,47094
311,245,610,1755,47130
312,245,612,1755,47166
311,245,617,1755,47202
310,245,613,1755,47238
311,246,609,1761,47275
310,245,615,1761,47310
311,246,611,1757,47346
311,246,612,1756,47382
310,244,615,1756,47418
312,247,611,1757,47454
311,244,613,1762,47491
311,243,616,1762,47526
311,245,617,1757,47562
310,239,613,1756,47598
311,241,616,1756,47634
312,243,618,1757,47670
311,241,615,1762,47707
311,240,615,1763,47742
311,239,624,1756,47778
310,237,621,1756,47814
313,236,620,1756,47850
310,236,621,1756,47886
312,235,623,1763,47923
312,233,620,1762,47959
310,231,622,1756,47994
312,232,626,1757,48030
310,229,623,1756,48066
311,230,622,1756,48102
311,231,624,1762,48139
310,230,624,1763,48175
312,229,622,1756,48210
312,230,624,1756,48246
311,228,626,1756,48282
312,229,623,1757,48318
311,229,625,1762,48355
310,229,628,1762,48391
312,229,628,1756,48427
311,228,623,1758,48462
312,229,624,1758,48498
311,229,629,1759,48534
311,228,628,1762,48571
312,229,627,1766,48607
311,228,628,1760,48643
311,228,630,1760,48678
311,227,629,1760,48714
310,226,627,1760,48750
311,227,631,1761,48787
312,227,632,1767,48823
311,225,630,1761,48859
311,227,627,1761,48894
312,225,633,1761,48930
311,226,631,1761,48966
311,226,627,1761,49003
311,225,626,1767,49039
312,228,631,1761,49075
312,225,632,1761,49111
310,226,630,1761,49146
312,224,626,1761,49182
311,224,633,1761,49219
311,224,631,1767,49255
312,225,629,1761,49291
312,225,627,1761,49327
310,225,632,1761,49362
312,223,635,1761,49398
310,223,629,1761,49435
311,222,628,1767,49471
311,224,633,1753,49507
313,192,631,1731,49543
312,179,633,1722,49579
314,170,628,1714,49614
313,163,633,1713,49650
313,166,633,1706,49687
315,148,629,1705,49723
315,151,635,1698,49759
314,151,633,1697,49795
314,153,634,1695,49830
315,152,631,1694,49866
314,153,632,1699,49903
313,149,636,1699,49939
314,147,634,1680,49975
315,132,634,1670,50011
315,119,632,1662,50046
315,128,633,1661,50082
316,123,636,1666,50119
317,114,630,1665,50155
316,117,636,1650,50191
317,96,630,1632,50227
316,95,635,1631,50263
317,99,631,1631,50298
317,101,632,1636,50335
316,103,635,1636,50371
317,103,626,1630,50407
317,103,633,1628,50443
317,100,632,1627,50479
317,102,628,1627,50514
317,101,629,1633,50550
316,104,635,1633,50587
317,101,626,1632,50623
316,100,628,1626,50659
317,103,634,1626,50695
317,104,627,1616,50731
317,92,625,1611,50766
318,75,627,1583,50803
319,56,630,1541,50839
319,49,630,1521,50875
319,49,624,1519,50911
319,51,624,1519,50947
319,50,622,1524,50982
319,51,621,1525,51019
320,51,625,1526,51055
319,52,621,1520,51091
320,53,618,1520,51127
319,52,626,1520,51163
319,53,620,1527,51198
320,53,620,1527,51235
319,53,619,1526,51271
319,54,617,1520,51307
319,54,619,1520,51343
